code,line_item,period_end,measure,value,asOf
2284,Foreign investors' ownership ratio at the end of the period,2022-02-28,month,0.0002,2022-04-04
2285,Net asset value per Fund Certificate at the end of period,2022-02-28,month,9769.54,2022-04-04
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2022-02-28,month,0.00210590876352051,2022-04-04
22761,Change of Number of Fund Certificates during the period,2022-02-28,month,56835.47,2022-04-04
22762,Change in capital amount during the period (based on par value),2022-02-28,month,568354700,2022-04-04
22781,Number of Fund Certificates redeemed during the period,2022-02-28,month,-299281.04,2022-04-04
22782,Net redemption amount during the period (based on par value),2022-02-28,month,-2992810400,2022-04-04
22841,Number of investors of the Fund at the end of the period,2022-02-28,month,411,2022-04-04
,Change of Fund scale during the period (based on par value),2022-03-31,month,1884979600,2022-05-05
,Fund scale at the beginning of the period (based on par value),2022-03-31,month,283513587200,2022-05-05
,Total value of outstanding Fund Certificate at the beginning of period (based on par value),2022-03-31,month,283513587200,2022-05-05
2265,Management fee paid to the fund management company/Average NAV (%),2022-03-31,month,0.0122310035405419,2022-05-05
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2022-03-31,month,0.00131427407830984,2022-05-05
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2022-03-31,month,0.000343537336716947,2022-05-05
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2022-03-31,month,0.000422414000599443,2022-05-05
2269,Expense/Average NAV (%),2022-03-31,month,0.0169251638228599,2022-05-05
2270,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2022-03-31,month,0.326509257321552,2022-05-05
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2022-03-31,month,283513587200,2022-04-04
2274,Total value of outstanding Fund Certificate at the beginning of period,2022-03-31,month,283513587200,2022-04-04
2275,Total number of outstanding Fund Certificate at the beginning of period,2022-03-31,month,28351358.72,2022-05-05
2276,Change of Fund scale during the period (based on par value of fund certificate),2022-03-31,month,1884979600,2022-04-04
2277,Number of Fund Certificates subscribed during the period,2022-03-31,month,786413.97,2022-05-05
2278,Net subscription amount during the period (based on par value),2022-03-31,month,7864139700,2022-05-05
2279,Fund scale at the end of the period (based on par value),2022-03-31,month,285398566800,2022-05-05
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2022-03-31,month,285398566800,2022-05-05
2281,Total number of outstanding Fund Certificate at the end of the period,2022-03-31,month,28539856.68,2022-05-05
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2022-03-31,month,0.936266245468756,2022-05-05
2283,Top 10 investors' ownership ratio at the end of the period,2022-03-31,month,0.962,2022-05-05
2284,Foreign investors' ownership ratio at the end of the period,2022-03-31,month,0.0002,2022-05-05
2285,Net asset value per Fund Certificate at the end of period,2022-03-31,month,9816.6,2022-05-05
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2022-03-31,month,0.00209476853670592,2022-05-05
22761,Change of Number of Fund Certificates during the period,2022-03-31,month,188497.96,2022-05-05
22762,Change in capital amount during the period (based on par value),2022-03-31,month,1884979600,2022-05-05
22781,Number of Fund Certificates redeemed during the period,2022-03-31,month,-597916.01,2022-05-05
